last_cycle,start_datetime,version,crate_1,crate_2,soc_switch,rest_time_s,cccv_rate,formation_cycle_rate,cathode,anode,manufacturer,chamber_temperature_c,nominal_capacity_ah,nominal_voltage_v,upper_voltage_cuttoff_v,lower_voltage_cuttoff_v,drate,provider,cell_id,cell_type,batch_number,repository_url
490,2017-07-01T03:52:32+00:00,2020.10.19.20-8667111,4.0,4.0,55.0,300,0.02,0.1,LFP,Graphite,A123 Systems (APR18650M1A),30,1.1,3.3,3.6,2.0,4,Toyota Research Institute,FastCharge_000000_CH19_structure,Cylindrical,2,https://data.matr.io/1/projects/5c48dd2bc625d700019f3204/batches/5c86bf14fa2ede00015ddd83
666,2018-04-13T01:27:28+00:00,2020.10.19.20-8667111,7.0,7.0,31.0,5,0.05,,LFP,Graphite,A123 Systems (APR18650M1A),30,1.1,3.3,3.6,2.0,4,Toyota Research Institute,FastCharge_000001_CH16_structure,Cylindrical,3,https://data.matr.io/1/projects/5c48dd2bc625d700019f3204/batches/5c86bd64fa2ede00015ddbb3
772,2018-04-13T01:27:28+00:00,2020.10.19.20-8667111,7.0,7.0,31.0,5,0.05,,LFP,Graphite,A123 Systems (APR18650M1A),30,1.1,3.3,3.6,2.0,4,Toyota Research Institute,FastCharge_000001_CH30_structure,Cylindrical,3,https://data.matr.io/1/projects/5c48dd2bc625d700019f3204/batches/5c86bd64fa2ede00015ddbb3
541,2018-04-13T01:27:28+00:00,2020.10.19.20-8667111,7.0,7.0,31.0,5,0.05,,LFP,Graphite,A123 Systems (APR18650M1A),30,1.1,3.3,3.6,2.0,4,Toyota Research Institute,FastCharge_000001_CH38_structure,Cylindrical,3,https://data.matr.io/1/projects/5c48dd2bc625d700019f3204/batches/5c86bd64fa2ede00015ddbb3
1009,2018-04-13T01:27:28+00:00,2020.8.21-6702566,5.0,5.0,67.0,5,0.05,,LFP,Graphite,A123 Systems (APR18650M1A),30,1.1,3.3,3.6,2.0,4,Toyota Research Institute,FastCharge_000002_CH10_structure,Cylindrical,3,https://data.matr.io/1/projects/5c48dd2bc625d700019f3204/batches/5c86bd64fa2ede00015ddbb3
828,2018-04-13T01:27:28+00:00,2020.10.19.20-8667111,5.0,5.0,67.0,5,0.05,,LFP,Graphite,A123 Systems (APR18650M1A),30,1.1,3.3,3.6,2.0,4,Toyota Research Institute,FastCharge_000002_CH18_structure,Cylindrical,3,https://data.matr.io/1/projects/5c48dd2bc625d700019f3204/batches/5c86bd64fa2ede00015ddbb3
0,2018-04-13T01:27:28+00:00,2020.10.19.20-8667111,5.0,5.0,67.0,5,0.05,,LFP,Graphite,A123 Systems (APR18650M1A),30,1.1,3.3,3.6,2.0,4,Toyota Research Institute,FastCharge_000002_CH26_structure,Cylindrical,3,https://data.matr.io/1/projects/5c48dd2bc625d700019f3204/batches/5c86bd64fa2ede00015ddbb3
813,2018-04-13T01:27:28+00:00,2020.10.19.20-8667111,5.0,5.0,67.0,5,0.05,,LFP,Graphite,A123 Systems (APR18650M1A),30,1.1,3.3,3.6,2.0,4,Toyota Research Institute,FastCharge_000002_CH2_structure,Cylindrical,3,https://data.matr.io/1/projects/5c48dd2bc625d700019f3204/batches/5c86bd64fa2ede00015ddbb3
825,2018-04-13T01:27:28+00:00,2020.10.19.20-8667111,5.0,5.0,67.0,5,0.05,,LFP,Graphite,A123 Systems (APR18650M1A),30,1.1,3.3,3.6,2.0,4,Toyota Research Institute,FastCharge_000002_CH34_structure,Cylindrical,3,https://data.matr.io/1/projects/5c48dd2bc625d700019f3204/batches/5c86bd64fa2ede00015ddbb3
1284,2018-04-13T01:27:28+00:00,2020.10.19.20-8667111,5.0,5.0,67.0,5,0.05,,LFP,Graphite,A123 Systems (APR18650M1A),30,1.1,3.3,3.6,2.0,4,Toyota Research Institute,FastCharge_000002_CH42_structure,Cylindrical,3,https://data.matr.io/1/projects/5c48dd2bc625d700019f3204/batches/5c86bd64fa2ede00015ddbb3
1935,2018-04-13T01:27:28+00:00,2020.10.19.20-8667111,5.0,5.0,67.0,5,0.05,,LFP,Graphite,A123 Systems (APR18650M1A),30,1.1,3.3,3.6,2.0,4,Toyota Research Institute,FastCharge_000002_CH47_structure,Cylindrical,3,https://data.matr.io/1/projects/5c48dd2bc625d700019f3204/batches/5c86bd64fa2ede00015ddbb3
1046,2018-04-13T01:27:28+00:00,2020.10.19.20-8667111,5.0,5.0,67.0,5,0.05,,LFP,Graphite,A123 Systems (APR18650M1A),30,1.1,3.3,3.6,2.0,4,Toyota Research Institute,FastCharge_000002_CH7_structure,Cylindrical,3,https://data.matr.io/1/projects/5c48dd2bc625d700019f3204/batches/5c86bd64fa2ede00015ddbb3
742,2017-05-13T03:24:48+00:00,2020.10.19.20-8667111,,,,61,0.02,0.1,LFP,Graphite,A123 Systems (APR18650M1A),30,1.1,3.3,3.6,2.0,4,Toyota Research Institute,FastCharge_000003_CH39_structure,Cylindrical,1,https://data.matr.io/1/projects/5c48dd2bc625d700019f3204/batches/5c86c0b5fa2ede00015ddf67
703,2017-05-13T03:22:40+00:00,2020.10.19.20-8667111,,,,61,0.02,0.1,LFP,Graphite,A123 Systems (APR18650M1A),30,1.1,3.3,3.6,2.0,4,Toyota Research Institute,FastCharge_000003_CH40_structure,Cylindrical,1,https://data.matr.io/1/projects/5c48dd2bc625d700019f3204/batches/5c86c0b5fa2ede00015ddf67
663,2017-07-01T03:44:00+00:00,2020.10.19.20-8667111,,,,300,0.02,0.1,LFP,Graphite,A123 Systems (APR18650M1A),30,1.1,3.3,3.6,2.0,4,Toyota Research Institute,FastCharge_000004_CH1_structure,Cylindrical,2,https://data.matr.io/1/projects/5c48dd2bc625d700019f3204/batches/5c86bf14fa2ede00015ddd83
982,2017-07-01T03:44:00+00:00,2020.8.21-6702566,,,,300,0.02,0.1,LFP,Graphite,A123 Systems (APR18650M1A),30,1.1,3.3,3.6,2.0,4,Toyota Research Institute,FastCharge_000004_CH2_structure,Cylindrical,2,https://data.matr.io/1/projects/5c48dd2bc625d700019f3204/batches/5c86bf14fa2ede00015ddd83
1061,2017-07-01T03:44:00+00:00,2020.8.21-6702566,,,,300,0.02,0.1,LFP,Graphite,A123 Systems (APR18650M1A),30,1.1,3.3,3.6,2.0,4,Toyota Research Institute,FastCharge_000004_CH3_structure,Cylindrical,2,https://data.matr.io/1/projects/5c48dd2bc625d700019f3204/batches/5c86bf14fa2ede00015ddd83
524,2017-07-01T03:52:32+00:00,2020.10.19.20-8667111,4.0,4.0,47.0,300,0.02,0.1,LFP,Graphite,A123 Systems (APR18650M1A),30,1.1,3.3,3.6,2.0,4,Toyota Research Institute,FastCharge_000005_CH18_structure,Cylindrical,2,https://data.matr.io/1/projects/5c48dd2bc625d700019f3204/batches/5c86bf14fa2ede00015ddd83
1063,2018-04-13T01:27:28+00:00,2020.10.19.20-8667111,3.0,3.0,54.0,5,0.05,,LFP,Graphite,A123 Systems (APR18650M1A),30,1.1,3.3,3.6,2.0,4,Toyota Research Institute,FastCharge_000006_CH11_structure,Cylindrical,3,https://data.matr.io/1/projects/5c48dd2bc625d700019f3204/batches/5c86bd64fa2ede00015ddbb3
1039,2018-04-13T01:27:28+00:00,2020.10.19.20-8667111,3.0,3.0,54.0,5,0.05,,LFP,Graphite,A123 Systems (APR18650M1A),30,1.1,3.3,3.6,2.0,4,Toyota Research Institute,FastCharge_000006_CH19_structure,Cylindrical,3,https://data.matr.io/1/projects/5c48dd2bc625d700019f3204/batches/5c86bd64fa2ede00015ddbb3
1315,2018-04-13T01:27:28+00:00,2020.8.21-6702566,3.0,3.0,54.0,5,0.05,,LFP,Graphite,A123 Systems (APR18650M1A),30,1.1,3.3,3.6,2.0,4,Toyota Research Institute,FastCharge_000006_CH27_structure,Cylindrical,3,https://data.matr.io/1/projects/5c48dd2bc625d700019f3204/batches/5c86bd64fa2ede00015ddbb3
989,2018-04-13T01:27:28+00:00,2020.8.21-6702566,3.0,3.0,54.0,5,0.05,,LFP,Graphite,A123 Systems (APR18650M1A),30,1.1,3.3,3.6,2.0,4,Toyota Research Institute,FastCharge_000006_CH35_structure,Cylindrical,3,https://data.matr.io/1/projects/5c48dd2bc625d700019f3204/batches/5c86bd64fa2ede00015ddbb3
935,2018-04-13T01:27:28+00:00,2020.6.2-1674d80,3.0,3.0,54.0,5,0.05,,LFP,Graphite,A123 Systems (APR18650M1A),30,1.1,3.3,3.6,2.0,4,Toyota Research Institute,FastCharge_000006_CH3_structure,Cylindrical,3,https://data.matr.io/1/projects/5c48dd2bc625d700019f3204/batches/5c86bd64fa2ede00015ddbb3
1158,2018-04-13T01:27:28+00:00,2020.10.19.20-8667111,3.0,3.0,54.0,5,0.05,,LFP,Graphite,A123 Systems (APR18650M1A),30,1.1,3.3,3.6,2.0,4,Toyota Research Institute,FastCharge_000006_CH43_structure,Cylindrical,3,https://data.matr.io/1/projects/5c48dd2bc625d700019f3204/batches/5c86bd64fa2ede00015ddbb3
1156,2018-04-13T01:27:28+00:00,2020.10.19.20-8667111,3.0,3.0,54.0,5,0.05,,LFP,Graphite,A123 Systems (APR18650M1A),30,1.1,3.3,3.6,2.0,4,Toyota Research Institute,FastCharge_000006_CH48_structure,Cylindrical,3,https://data.matr.io/1/projects/5c48dd2bc625d700019f3204/batches/5c86bd64fa2ede00015ddbb3
940,2018-04-13T01:27:28+00:00,2020.10.19.20-8667111,3.0,3.0,54.0,5,0.05,,LFP,Graphite,A123 Systems (APR18650M1A),30,1.1,3.3,3.6,2.0,4,Toyota Research Institute,FastCharge_000006_CH8_structure,Cylindrical,3,https://data.matr.io/1/projects/5c48dd2bc625d700019f3204/batches/5c86bd64fa2ede00015ddbb3
876,2018-04-13T01:27:28+00:00,2020.10.19.20-8667111,9.0,9.0,15.0,5,0.05,,LFP,Graphite,A123 Systems (APR18650M1A),30,1.1,3.3,3.6,2.0,4,Toyota Research Institute,FastCharge_000007_CH24_structure,Cylindrical,3,https://data.matr.io/1/projects/5c48dd2bc625d700019f3204/batches/5c86bd64fa2ede00015ddbb3
858,2018-04-13T01:27:28+00:00,2020.10.19.20-8667111,9.0,9.0,15.0,5,0.05,,LFP,Graphite,A123 Systems (APR18650M1A),30,1.1,3.3,3.6,2.0,4,Toyota Research Institute,FastCharge_000007_CH39_structure,Cylindrical,3,https://data.matr.io/1/projects/5c48dd2bc625d700019f3204/batches/5c86bd64fa2ede00015ddbb3
616,2017-05-13T03:26:56+00:00,2020.8.21-6702566,,,,61,0.02,0.1,LFP,Graphite,A123 Systems (APR18650M1A),30,1.1,3.3,3.6,2.0,4,Toyota Research Institute,FastCharge_000008_CH47_structure,Cylindrical,1,https://data.matr.io/1/projects/5c48dd2bc625d700019f3204/batches/5c86c0b5fa2ede00015ddf67
599,2017-05-13T03:26:56+00:00,2020.10.19.20-8667111,,,,61,0.02,0.1,LFP,Graphite,A123 Systems (APR18650M1A),30,1.1,3.3,3.6,2.0,4,Toyota Research Institute,FastCharge_000008_CH48_structure,Cylindrical,1,https://data.matr.io/1/projects/5c48dd2bc625d700019f3204/batches/5c86c0b5fa2ede00015ddf67
